,age,height_cm,weight_kg,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
2284,26,188,75,27000,1,3,2,12500000.0,15.0,65.0,49.0,50.0,59.0,73.0,76.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,32,43,72,64,50,55,36,29,69,62,64,65,60,71,66,62,77,69,81,52,71,73,38,38,42,55,74,72,73
556,26,164,60,88000,2,4,4,30400000.0,12.1145648312611,87.0,69.0,76.0,85.0,38.0,44.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,80,69,59,77,68,84,78,69,68,84,90,84,94,80,95,76,61,71,30,65,41,42,74,75,57,73,31,39,25
2216,22,174,64,49000,1,4,3,14400000.0,12.1145648312611,76.0,37.0,66.0,72.0,72.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,75,35,62,71,25,74,54,31,62,70,78,75,69,70,80,38,75,74,59,41,70,72,57,64,32,68,70,76,73
18023,17,186,77,1000,1,2,2,184000.0,12.1145648312611,66.0,52.0,32.0,44.0,18.0,54.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,28,52,53,38,50,41,39,22,22,44,63,68,59,40,49,57,69,50,62,45,33,12,45,33,59,39,13,17,13
7843,23,168,63,14000,1,3,3,2500000.0,12.1145648312611,65.0,53.0,69.0,72.0,40.0,45.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,62,54,51,74,47,71,61,60,64,71,69,62,78,61,85,53,67,56,36,52,49,28,54,73,59,70,30,53,46
4578,29,177,77,22000,1,2,3,3900000.0,12.1145648312611,61.0,59.0,67.0,67.0,67.0,67.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,60,54,56,76,47,64,60,59,67,69,63,60,69,67,73,71,79,68,59,64,84,68,53,61,59,65,64,74,68
1962,29,182,70,79000,2,5,3,10500000.0,12.1145648312611,69.0,58.0,66.0,73.0,77.0,67.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,67,55,68,74,59,72,69,35,66,74,69,69,77,74,75,69,68,67,64,56,74,77,63,59,45,78,78,80,77
2704,21,191,75,30000,1,3,2,11600000.0,5.0,62.0,33.0,53.0,60.0,72.0,73.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,36,30,71,66,32,58,40,31,59,66,59,64,51,67,64,43,74,68,76,27,72,71,35,53,44,64,72,73,73
1908,34,170,70,57000,3,3,3,4400000.0,12.1145648312611,56.0,68.0,77.0,75.0,76.0,59.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,82,59,74,78,63,74,79,81,74,79,60,53,66,77,81,82,67,55,55,71,74,77,69,71,88,84,75,77,76
3010,32,178,75,41000,1,3,3,4700000.0,12.1145648312611,63.0,61.0,72.0,72.0,74.0,64.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,76,52,67,73,57,73,69,68,69,74,65,62,63,74,69,74,75,63,63,63,64,74,66,71,72,70,73,76,75
1461,30,184,75,34000,2,4,3,13300000.0,12.1145648312611,47.0,62.0,73.0,71.0,76.0,80.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,68,58,74,77,60,69,74,58,76,76,52,42,63,78,68,73,75,90,76,59,78,77,67,72,60,77,77,76,75
7270,33,185,70,12000,1,2,2,850000.0,12.1145648312611,44.0,28.0,47.0,43.0,69.0,61.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,31,28,64,61,29,31,26,34,54,52,45,43,55,64,65,32,75,34,74,24,61,67,29,42,29,63,71,68,71
335,24,187,80,97000,2,4,3,46200000.0,12.1145648312611,74.0,50.0,72.0,72.0,82.0,78.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,62,42,79,79,38,71,64,59,78,76,72,76,67,82,62,70,80,76,78,52,81,81,51,70,54,83,82,83,79
5736,20,167,78,24000,1,3,4,3500000.0,12.1145648312611,75.0,52.0,62.0,81.0,34.0,44.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,56,53,37,66,45,83,64,60,59,75,79,71,88,64,92,56,45,58,35,44,48,30,64,62,58,61,38,33,27
3091,29,189,77,46000,1,3,3,7600000.0,14.0,77.0,70.0,57.0,73.0,27.0,73.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,49,72,72,67,64,77,56,56,43,68,74,79,77,66,65,74,71,76,76,62,64,26,73,58,71,71,17,26,19
1639,21,177,71,41000,1,3,4,20000000.0,12.1145648312611,85.0,59.0,70.0,76.0,68.0,67.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,71,56,54,74,44,77,60,36,69,76,83,87,79,72,71,65,55,78,66,62,58,70,66,72,54,77,67,73,69
1073,25,173,69,50000,2,3,4,21700000.0,12.1145648312611,84.0,71.0,71.0,82.0,27.0,52.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,69,33,73,55,82,69,65,61,79,87,82,90,69,88,80,42,71,50,75,38,30,75,73,57,68,23,26,30
1028,22,193,88,73000,1,3,3,24200000.0,16.0,61.0,65.0,72.0,72.0,74.0,80.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,68,60,76,78,59,73,64,34,77,76,59,63,64,73,50,79,69,80,82,66,78,75,65,72,59,76,72,75,70
1446,31,182,82,66000,2,3,3,13300000.0,12.1145648312611,61.0,74.0,77.0,76.0,47.0,71.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,82,71,44,74,65,76,82,82,72,81,63,60,71,74,67,81,57,70,69,77,82,46,77,79,73,78,42,56,41
768,22,175,64,82000,1,3,3,26700000.0,12.1145648312611,71.0,66.0,80.0,79.0,77.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,81,59,70,82,61,79,80,74,77,81,73,69,77,77,78,77,72,74,59,71,70,77,75,78,59,76,78,79,75
620,24,179,70,55000,1,4,3,29600000.0,16.0,73.0,64.0,72.0,73.0,78.0,80.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,66,56,65,77,56,70,66,65,76,77,72,73,74,73,76,79,84,87,74,71,84,80,59,71,58,70,78,81,79
3715,34,180,79,22000,1,3,3,2100000.0,12.1145648312611,51.0,58.0,66.0,68.0,75.0,72.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,71,47,71,71,43,67,66,33,67,71,53,49,60,75,62,80,73,67,69,66,85,74,58,59,56,69,75,76,77
6705,21,183,75,9000,1,3,2,2800000.0,12.1145648312611,52.0,37.0,50.0,54.0,68.0,63.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,40,40,71,64,34,46,31,28,62,67,53,51,48,64,57,44,65,52,71,28,54,66,30,37,35,68,67,70,70
998,21,183,62,44000,1,4,4,29400000.0,16.0,75.0,71.0,75.0,79.0,48.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,76,73,61,77,61,80,73,67,68,78,74,75,81,74,77,70,64,74,62,72,64,43,75,77,65,78,47,49,44
3763,31,183,74,26000,1,3,3,5600000.0,16.0,66.0,71.0,67.0,72.0,33.0,67.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,63,73,69,70,66,71,68,69,67,73,65,67,74,72,76,68,67,68,70,68,57,25,72,67,78,75,36,27,19
3592,26,193,82,53000,1,3,2,6600000.0,12.1145648312611,64.0,47.0,51.0,59.0,71.0,76.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,35,40,73,62,31,60,32,30,58,59,57,69,54,65,43,68,67,66,80,44,79,68,49,52,54,61,67,75,70
5672,21,183,71,20000,1,4,3,5400000.0,12.1145648312611,76.0,47.0,66.0,69.0,66.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,70,50,63,68,36,69,60,60,62,68,74,77,71,62,70,48,59,79,65,40,52,65,63,63,43,64,65,68,65
1522,28,174,61,53000,1,3,3,12400000.0,12.1145648312611,75.0,58.0,71.0,79.0,73.0,68.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,78,55,52,77,54,80,65,55,56,78,76,75,79,70,82,56,69,77,63,65,70,74,67,69,60,68,72,78,77
1380,26,180,78,48000,2,3,3,18800000.0,12.1145648312611,75.0,75.0,63.0,73.0,51.0,78.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,62,75,75,67,73,71,58,55,53,75,77,74,77,79,69,77,79,85,71,72,86,51,80,67,74,82,46,52,38
4907,23,178,76,18000,1,3,3,5200000.0,12.1145648312611,78.0,62.0,66.0,75.0,39.0,46.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,72,62,51,70,55,77,69,46,62,74,77,78,76,60,76,70,47,56,46,55,33,36,60,58,59,62,39,38,34
2449,28,174,76,34000,2,4,3,10500000.0,12.1145648312611,68.0,70.0,74.0,75.0,64.0,64.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,73,70,73,73,69,75,73,76,74,76,72,64,77,72,73,74,88,65,64,65,58,64,73,76,66,69,60,67,62
15020,19,180,70,3000,1,2,3,546000.0,12.1145648312611,78.0,34.0,48.0,59.0,55.0,63.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,55,32,53,54,30,57,48,34,45,57,79,78,74,53,67,41,54,62,66,28,57,56,47,37,41,44,51,59,57
5666,19,175,66,15000,1,3,3,5700000.0,12.1145648312611,72.0,63.0,63.0,72.0,43.0,50.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,54,60,34,69,54,71,63,50,61,72,75,70,77,63,83,68,50,63,42,69,53,46,63,64,48,62,41,47,44
600,22,191,94,61000,1,3,3,36800000.0,12.1145648312611,77.0,76.0,68.0,73.0,38.0,88.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,58,74,75,76,74,75,57,49,68,80,69,83,53,74,45,84,70,81,95,73,83,37,78,71,69,78,35,37,15
1114,26,186,82,87000,2,4,3,20700000.0,12.1145648312611,64.0,77.0,77.0,75.0,70.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,71,76,74,82,74,75,66,69,79,80,62,65,69,74,59,79,74,66,71,76,69,62,77,76,84,83,71,73,68
683,33,180,77,76000,2,3,3,10500000.0,12.1145648312611,63.0,61.0,71.0,74.0,80.0,68.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,76,55,72,77,58,73,74,52,61,77,65,61,70,82,72,74,74,67,64,61,77,81,65,66,61,76,80,83,81
2171,22,183,78,56000,1,4,3,17900000.0,16.0,78.0,72.0,60.0,69.0,29.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,59,76,71,62,70,69,59,33,57,70,76,80,70,68,67,77,89,74,79,60,62,16,74,65,56,80,38,19,17
26,24,170,69,255000,3,3,4,140500000.0,10.0,93.0,79.0,78.0,89.0,45.0,57.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47
16002,20,178,68,8000,1,3,3,631000.0,12.1145648312611,73.0,43.0,54.0,59.0,48.0,54.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,60,39,42,54,42,59,55,53,51,56,71,75,67,48,72,47,52,61,49,43,58,47,52,50,59,60,48,49,53
63,27,181,76,170000,3,4,4,100100000.0,12.1145648312611,77.0,82.0,80.0,87.0,61.0,78.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42
904,31,183,90,69000,2,3,2,18100000.0,12.1145648312611,57.0,79.0,67.0,71.0,37.0,85.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,56,77,83,74,78,68,68,49,61,77,54,59,62,78,68,86,83,73,91,75,85,31,79,74,82,78,38,30,25
5406,31,183,78,25000,2,3,3,2400000.0,3.0,69.0,64.0,70.0,69.0,66.0,72.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,72,61,72,71,60,68,76,69,69,71,70,69,72,72,63,70,81,79,72,66,59,68,66,67,59,68,63,66,61
260,27,194,90,99000,2,2,2,44300000.0,12.1145648312611,61.0,46.0,68.0,67.0,83.0,76.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,54,36,82,77,50,69,63,22,74,70,54,67,51,82,42,66,67,70,80,48,78,83,48,72,42,79,83,85,79
9038,25,192,81,12000,1,2,2,1700000.0,12.1145648312611,54.0,45.0,50.0,55.0,64.0,73.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,49,40,62,58,41,53,40,55,51,58,55,53,60,55,54,57,61,67,80,48,64,62,43,39,36,58,60,69,68
9995,21,172,70,8000,1,3,3,2000000.0,12.1145648312611,73.0,65.0,59.0,69.0,36.0,57.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,52,63,45,62,59,67,61,59,57,66,77,69,85,62,85,69,76,65,55,65,48,29,65,63,63,62,39,36,35
5364,28,183,85,29000,1,3,3,3300000.0,12.1145648312611,58.0,68.0,70.0,68.0,59.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,66,67,47,70,57,67,69,70,72,71,57,58,69,66,64,70,62,54,75,71,81,67,70,72,72,71,55,60,62
16401,19,181,80,3000,1,3,2,556000.0,12.1145648312611,67.0,55.0,40.0,57.0,27.0,53.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,33,57,53,46,44,56,39,29,33,55,69,66,63,49,65,60,66,51,58,50,39,30,55,43,55,51,20,24,20
1938,29,186,90,60000,2,3,2,12400000.0,12.1145648312611,64.0,72.0,59.0,70.0,30.0,82.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,53,72,77,73,66,71,58,48,36,77,58,68,53,70,45,81,73,67,93,67,73,21,73,62,66,74,29,25,20
219,29,186,77,120000,3,4,3,48500000.0,10.0,56.0,81.0,84.0,80.0,57.0,69.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,86,78,60,85,75,82,87,86,77,85,57,56,68,79,63,84,65,86,65,86,57,55,79,86,79,84,57,57,55
13129,19,180,72,4000,1,3,2,1600000.0,12.1145648312611,66.0,50.0,64.0,61.0,49.0,53.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,58,41,36,70,40,62,57,65,64,60,65,66,59,52,77,64,59,65,40,59,70,56,53,61,55,66,49,49,47
113,23,188,80,115000,3,3,4,79900000.0,20.0,72.0,81.0,79.0,82.0,71.0,79.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,68,82,83,84,79,83,75,68,80,86,68,76,75,86,62,78,71,89,72,80,84,74,88,83,74,87,70,70,63
4842,23,178,62,24000,1,3,2,5200000.0,12.1145648312611,76.0,54.0,65.0,69.0,66.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,70,51,64,68,45,70,59,40,61,67,75,76,75,63,70,58,67,84,66,56,62,64,67,65,47,65,64,68,67
1255,19,182,79,43000,1,3,3,36600000.0,12.1145648312611,81.0,72.0,50.0,77.0,30.0,68.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,42,77,72,59,70,77,66,43,38,78,80,82,74,72,78,72,75,72,75,60,45,21,78,51,65,72,27,28,16
2235,24,175,72,54000,1,4,3,14400000.0,12.1145648312611,88.0,67.0,68.0,78.0,34.0,58.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,71,65,49,72,74,79,74,58,60,74,89,88,86,72,89,67,56,62,60,71,48,21,70,66,61,70,32,37,39
16607,19,176,68,3000,1,3,2,273000.0,12.1145648312611,59.0,50.0,56.0,56.0,55.0,55.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,63,44,43,58,40,53,43,40,58,56,66,53,64,55,76,56,61,49,62,57,42,58,60,53,48,54,56,56,54
179,25,178,74,97000,2,3,3,56300000.0,12.1145648312611,78.0,69.0,79.0,79.0,80.0,76.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,85,60,71,81,68,78,81,83,73,83,79,78,69,83,78,83,92,85,69,76,76,82,72,73,60,79,78,83,84
3363,22,185,83,38000,1,3,3,9700000.0,18.0,75.0,69.0,67.0,77.0,36.0,59.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,64,69,64,69,71,78,65,63,56,78,73,77,75,70,63,70,60,46,64,67,62,36,71,75,77,65,26,37,31
7855,22,191,83,15000,1,2,2,2200000.0,12.1145648312611,56.0,37.0,50.0,54.0,66.0,71.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,40,31,67,59,37,51,43,36,54,57,55,56,50,63,57,54,71,64,75,32,69,65,34,45,45,54,66,67,66
5161,28,192,89,35000,1,2,2,3400000.0,12.1145648312611,42.0,44.0,52.0,51.0,69.0,77.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,50,26,67,63,43,51,42,32,59,58,43,41,34,65,31,68,54,64,86,59,77,68,41,37,51,57,69,71,70
1632,21,174,66,52000,1,4,3,23100000.0,12.1145648312611,78.0,69.0,71.0,76.0,45.0,57.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,70,69,41,74,50,77,70,52,65,76,79,78,76,73,76,71,57,72,54,75,47,43,74,74,49,66,43,49,47
